WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2023-09-16,North America,Canada,Alberta,Protests,Peaceful protest,11,0,16126.0,Demonstrations,485.0,54.498,-115.0035
2023-09-23,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4337.0,Demonstrations,485.0,54.498,-115.0035
2023-09-30,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-10-07,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6493.0,Demonstrations,485.0,54.498,-115.0035
2023-10-14,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-10-21,North America,Canada,Alberta,Protests,Peaceful protest,2,0,3516.0,Demonstrations,485.0,54.498,-115.0035
2023-10-28,North America,Canada,Alberta,Protests,Peaceful protest,6,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-11-04,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-11-11,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6340.0,Demonstrations,485.0,54.498,-115.0035
2023-11-18,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-11-25,North America,Canada,Alberta,Protests,Peaceful protest,6,0,4830.0,Demonstrations,485.0,54.498,-115.0035
2023-12-02,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2671.0,Demonstrations,485.0,54.498,-115.0035
2023-12-09,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-12-16,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2671.0,Demonstrations,485.0,54.498,-115.0035
2023-12-30,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2024-01-06,North America,Canada,Alberta,Protests,Peaceful protest,3,0,7781.0,Demonstrations,485.0,54.498,-115.0035
2024-01-13,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2184.0,Demonstrations,485.0,54.498,-115.0035
2024-01-20,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2184.0,Demonstrations,485.0,54.498,-115.0035
2024-01-27,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4392.0,Demonstrations,485.0,54.498,-115.0035
2024-02-03,North America,Canada,Alberta,Protests,Peaceful protest,8,0,9233.0,Demonstrations,485.0,54.498,-115.0035
2024-02-10,North America,Canada,Alberta,Protests,Peaceful protest,7,0,6576.0,Demonstrations,485.0,54.498,-115.0035
2024-02-17,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-02-24,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-03-02,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2705.0,Demonstrations,485.0,54.498,-115.0035
2024-03-09,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4289.0,Demonstrations,485.0,54.498,-115.0035
2024-03-16,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4430.0,Demonstrations,485.0,54.498,-115.0035
2024-03-23,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2246.0,Demonstrations,485.0,54.498,-115.0035
2024-03-30,North America,Canada,Alberta,Protests,Peaceful protest,8,0,8625.0,Demonstrations,485.0,54.498,-115.0035
2024-04-06,North America,Canada,Alberta,Protests,Peaceful protest,5,0,9680.0,Demonstrations,485.0,54.498,-115.0035
2024-04-13,North America,Canada,Alberta,Protests,Peaceful protest,3,0,11975.0,Demonstrations,485.0,54.498,-115.0035
2024-04-20,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-04-27,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-05-04,North America,Canada,Alberta,Protests,Peaceful protest,12,0,5501.0,Demonstrations,485.0,54.498,-115.0035
2024-05-11,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2705.0,Demonstrations,485.0,54.498,-115.0035
2024-05-18,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2705.0,Demonstrations,485.0,54.498,-115.0035
2024-05-25,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-06-01,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4208.0,Demonstrations,485.0,54.498,-115.0035
2024-06-08,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4208.0,Demonstrations,485.0,54.498,-115.0035
2024-06-15,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2705.0,Demonstrations,485.0,54.498,-115.0035
