indicator_code,indicator_label,reporter_area_code,reporter_area_label,year,value,unit,indicator_name
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2021,10758.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2022,14653.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2023,14776.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2024,14914.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2016,76.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2017,67.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2018,117.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2019,138.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2020,134.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2021,187.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2022,115.517971529229,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2023,117.502541588701,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),48,Bahrain,2024,118.297793945069,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2008,447.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2009,436.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2010,565.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2011,489.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2012,515.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2013,670.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2014,860.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2015,871.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2016,980.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2017,1087.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2018,1092.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2019,1545.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2020,1046.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2021,1596.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2022,1930.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2023,2304.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),51,Armenia,2024,2837.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2009,5431.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2010,5802.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2011,6124.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2012,6313.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2013,6468.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2014,6754.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2015,7492.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2016,7729.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2017,7934.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2018,8441.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2019,8714.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2020,4284.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2021,6911.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2022,5759.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2023,5883.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),56,Belgium,2024,5748.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),64,Bhutan,2019,765.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),70,Bosnia and Herzegovina,2020,304.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),70,Bosnia and Herzegovina,2021,469.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),70,Bosnia and Herzegovina,2022,562.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),70,Bosnia and Herzegovina,2023,556.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),70,Bosnia and Herzegovina,2024,559.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),72,Botswana,2010,1166.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),72,Botswana,2016,3120.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),76,Brazil,2011,190884.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2012,3107.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2013,3413.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2014,3171.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2015,2540.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2016,2992.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2017,4710.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2018,4151.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2019,4702.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2020,2995.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2021,3871.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),100,Bulgaria,2022,4132.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),104,Myanmar,2023,9243.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),104,Myanmar,2024,9992.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,1999,1428.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2000,1717.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2001,1742.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2002,1505.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2003,1646.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2004,1686.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2005,1702.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2006,1722.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2007,1751.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2008,1734.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2009,1636.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2010,1666.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2011,1768.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2012,1898.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2013,1907.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2014,2332.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2015,2226.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2016,2292.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),112,Belarus,2017,2442.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
